City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,palmital,BR,-22.7889,-50.2175,67.44,79,0,5.35,clear sky
133,kavieng,PG,-2.5744,150.7967,85.01,71,71,14.67,light rain
134,leningradskiy,RU,69.3833,178.4167,20.95,89,50,6.06,scattered clouds
135,longyearbyen,SJ,78.2186,15.6401,28.24,69,20,20.71,few clouds
136,guerrero negro,MX,27.9769,-114.0611,67.24,61,38,23.44,scattered clouds
137,bayji,IQ,34.9311,43.487,67.21,29,3,12.5,clear sky
138,evensk,RU,61.95,159.2333,22.84,90,100,2.35,light snow
139,zaranj,AF,30.9667,61.8833,71.49,17,7,1.34,clear sky
140,butembo,CD,0.15,29.2833,56.93,96,99,2.3,overcast clouds
141,mar del plata,AR,-38.0023,-57.5575,64.42,92,0,10.0,moderate rain
142,xai-xai,MZ,-25.0519,33.6442,70.18,82,99,7.85,overcast clouds
143,corsicana,US,32.0954,-96.4689,84.74,61,75,21.85,broken clouds
144,shevchenkove,UA,49.6959,37.1735,38.82,85,19,8.63,few clouds
145,west odessa,US,31.8424,-102.4988,96.4,6,0,12.66,clear sky
146,pudozh,RU,61.8099,36.5345,35.11,91,88,4.03,overcast clouds
147,hobart,AU,-42.8794,147.3294,49.26,74,40,4.61,scattered clouds
148,cervo,ES,43.6702,-7.4101,45.97,77,37,5.97,scattered clouds
149,dikson,RU,73.5069,80.5464,-4.65,100,94,9.75,overcast clouds
150,college,US,64.8569,-147.8028,45.0,35,40,4.61,scattered clouds
151,amahai,ID,-3.3333,128.9167,80.42,81,47,1.43,scattered clouds
152,milton,US,34.1322,-84.3007,70.18,38,89,1.99,overcast clouds
153,port hawkesbury,CA,45.6169,-61.3485,51.75,75,100,8.05,overcast clouds
154,makhinjauri,GE,41.6739,41.694,46.26,93,40,0.0,scattered clouds
155,alofi,NU,-19.0595,-169.9187,85.89,70,75,8.05,broken clouds
156,butaritari,KI,3.0707,172.7902,81.18,81,84,14.07,light rain
157,erie,US,42.7667,-78.6664,49.01,40,61,1.01,broken clouds
158,rio branco,BR,-9.9747,-67.81,86.61,70,40,0.0,scattered clouds
