City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
187,bontang,ID,77.49,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
189,jangaon,IN,80.44,clear sky,17.7167,79.1833,Gabbeta real estate
191,katobu,ID,76.57,overcast clouds,-4.9408,122.5276,La Ode Husein
192,cotui,DO,76.71,overcast clouds,19.0527,-70.1494,Hostal Maria Yobón
200,iralaya,HN,81.68,scattered clouds,15.0,-83.2333,Iglesia morava renovada
201,simpang empat,MY,75.36,overcast clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
202,vao,NC,74.95,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
207,dicabisagan,PH,78.37,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
213,sur,OM,83.68,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
218,angoche,MZ,74.16,broken clouds,-16.2325,39.9086,Guest House HESADA
223,cabadiangan,PH,80.65,scattered clouds,9.7531,122.4739,Kipot
224,vanimo,PG,79.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
226,maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
231,acajutla,SV,84.54,clear sky,13.5928,-89.8275,Laureles
235,tautira,PF,80.55,few clouds,-17.7333,-149.15,Pension Oaoa
236,isla vista,US,75.31,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
242,mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
246,atambua,ID,75.15,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
250,riyadh,SA,84.34,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
255,itoman,JP,74.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
256,senador jose porfirio,BR,76.68,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
258,kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
259,nobres,BR,76.77,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
263,cap malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
265,jadu,LY,74.19,overcast clouds,31.953,12.0261,امياس للصرافة
270,nagapattinam,IN,81.43,clear sky,10.7667,79.8333,Sathya Lodge
271,cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
275,salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
276,daru,PG,80.51,broken clouds,-9.0763,143.2092,Daru Lodge
277,makaha,US,82.31,light rain,21.4694,-158.2175,Hawaiian Princess Resort
282,port hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
284,diffa,NE,83.88,overcast clouds,13.3154,12.6113,ProDAF/Diffa
286,ca mau,VN,79.36,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
